trade_date,close_x,pct_chg_x,vol_x,close_y,pct_chg_y,vol_y
20190807,2768.6795,-0.3196,157716752.0,3621.431,-0.4097,84238716.0
20190808,2794.5523,0.9345,149539564.0,3669.2936,1.3216,88457707.0
20190809,2774.7532,-0.7085,148240293.0,3633.5296,-0.9747,85295580.0
20190812,2814.9944,1.4503,131563433.0,3699.1047,1.8047,82083056.0
20190813,2797.2596,-0.63,130916505.0,3665.7515,-0.9017,76500302.0
20190814,2808.9146,0.4167,144014641.0,3682.4015,0.4542,91202590.0
20190815,2815.7976,0.245,152772152.0,3694.0006,0.315,88598832.0
20190816,2823.8238,0.285,148582344.0,3710.5386,0.4477,88319169.0
20190819,2883.096,2.099,214546668.0,3791.0946,2.171,139327013.0
20190820,2880.0012,-0.1073,189677206.0,3787.7324,-0.0887,108602088.0
20190821,2880.3307,0.0114,159019665.0,3781.7579,-0.1577,82299880.0
20190822,2883.4358,0.1078,149206215.0,3793.5061,0.3107,85807792.0
20190823,2897.4253,0.4852,159156826.0,3820.8638,0.7212,87954583.0
20190826,2863.5673,-1.1686,169895363.0,3765.9105,-1.4382,93859269.0
20190827,2902.1932,1.3489,208141794.0,3816.9459,1.3552,124731478.0
20190828,2893.7564,-0.2907,183097903.0,3802.5844,-0.3763,88750812.0
20190829,2890.9192,-0.098,178613082.0,3790.1867,-0.326,84083387.0
20190830,2886.2365,-0.162,193959951.0,3799.5863,0.248,96695150.0
20190902,2924.1063,1.3121,202786807.0,3848.3198,1.2826,110289349.0
20190903,2930.1538,0.2068,189001216.0,3853.6106,0.1375,97714631.0
20190904,2957.4116,0.9303,225495907.0,3886.0012,0.8405,126628615.0
20190905,2985.8648,0.9621,305438706.0,3925.323,1.0119,181656231.0
20190906,2999.6013,0.4601,216826035.0,3948.5075,0.5906,121882376.0
20190909,3024.7388,0.838,243377752.0,3972.9484,0.619,146809754.0
20190910,3021.2024,-0.1169,240012947.0,3959.265,-0.3444,130889386.0
20190911,3008.8118,-0.4101,229837362.0,3930.0999,-0.7366,131594875.0
20190912,3031.2351,0.7453,196968701.0,3972.3799,1.0758,110241273.0
20190916,3030.7544,-0.0159,221878959.0,3957.7154,-0.3692,110259805.0
20190917,2978.1178,-1.7367,223338061.0,3891.2208,-1.6801,113694317.0
20190918,2985.6586,0.2532,168046699.0,3910.0837,0.4848,82056152.0
20190919,2999.2789,0.4562,162690615.0,3924.3823,0.3657,85984238.0
20190920,3006.4467,0.239,182145302.0,3935.6511,0.2871,103455955.0
20190923,2977.0767,-0.9769,168139450.0,3890.6616,-1.1431,94036225.0
20190924,2985.3406,0.2776,163902761.0,3901.0758,0.2677,87783230.0
20190925,2955.4325,-1.0018,168543135.0,3870.9837,-0.7714,89520835.0
20190926,2929.0875,-0.8914,188932541.0,3841.1388,-0.771,102698301.0
20190927,2932.167,0.1182,132905777.0,3852.6534,0.2998,74003947.0
20190930,2905.1892,-0.9201,116646811.0,3814.5282,-0.9896,65931313.0
20191008,2913.5704,0.2885,125535812.0,3837.6791,0.6069,76657860.0
20191009,2924.8566,0.3874,130424144.0,3843.2392,0.1449,75854512.0
20191010,2947.7106,0.7814,134239752.0,3874.6391,0.817,79222694.0
20191011,2973.6558,0.8802,161203746.0,3911.7253,0.9572,93412577.0
20191014,3007.8834,1.151,208614802.0,3953.2411,1.0613,122393611.0
20191015,2991.0459,-0.5598,155376904.0,3936.2498,-0.4298,85273949.0
20191016,2978.7124,-0.4123,149885496.0,3922.6854,-0.3446,83229707.0
20191017,2977.3342,-0.0463,122527614.0,3925.2216,0.0647,64863745.0
20191018,2938.1413,-1.3164,149990678.0,3869.3777,-1.4227,82321140.0
20191021,2939.6179,0.0503,132475107.0,3880.8398,0.2962,74182918.0
20191022,2954.3799,0.5022,117482048.0,3895.8809,0.3876,68918566.0
20191023,2941.6188,-0.4319,123812881.0,3871.0848,-0.6365,70198625.0
20191024,2940.9215,-0.0237,126540290.0,3870.6678,-0.0108,71334575.0
20191025,2954.9327,0.4764,136860706.0,3896.7923,0.6749,77453620.0
20191028,2980.0498,0.85,173731481.0,3926.585,0.7645,97406020.0
20191029,2954.176,-0.8682,166110058.0,3910.226,-0.4166,82257075.0
20191030,2939.3209,-0.5029,158798110.0,3891.2255,-0.4859,77872923.0
20191031,2929.0561,-0.3492,161571483.0,3886.7519,-0.115,86714539.0
20191101,2958.1992,0.995,159907373.0,3952.3872,1.6887,100689612.0
20191104,2975.4919,0.5846,167248364.0,3978.1216,0.6511,104193855.0
20191105,2991.5622,0.5401,179891593.0,4002.8128,0.6207,112911880.0
20191106,2978.5955,-0.4334,165263547.0,3984.8816,-0.448,97312952.0
20191107,2978.7144,0.004,136952678.0,3991.8749,0.1755,87254898.0
20191108,2964.1849,-0.4878,149742107.0,3973.0107,-0.4726,97106948.0
20191111,2909.9746,-1.8288,157916105.0,3902.9783,-1.7627,94155621.0
20191112,2914.8232,0.1666,129729154.0,3903.6888,0.0182,76543069.0
20191113,2905.2409,-0.3287,129765841.0,3899.9815,-0.095,76749078.0
20191114,2909.8697,0.1593,129145448.0,3905.857,0.1507,87008446.0
20191115,2891.3431,-0.6367,135519463.0,3877.0892,-0.7365,83730917.0
20191118,2909.2002,0.6176,124433177.0,3907.9291,0.7954,76645993.0
20191119,2933.9908,0.8521,135417604.0,3947.0392,1.0008,82161025.0
20191120,2911.0534,-0.7818,137357530.0,3907.8641,-0.9925,76815333.0
20191121,2903.6379,-0.2547,123458607.0,3889.598,-0.4674,69130538.0
20191122,2885.2884,-0.6319,158623365.0,3849.9948,-1.0182,91042639.0
20191125,2906.1688,0.7237,178587429.0,3878.2061,0.7328,106066289.0
20191126,2907.0602,0.0307,170004663.0,3891.6533,0.3467,111513537.0
20191127,2903.1947,-0.133,133862205.0,3875.6186,-0.412,76437305.0
20191128,2889.6934,-0.465,119522468.0,3862.3029,-0.3436,65230119.0
20191129,2871.9813,-0.6129,122612968.0,3828.6706,-0.8708,74144331.0
20191202,2875.8072,0.1332,128755806.0,3836.0589,0.193,77412173.0
20191203,2884.6988,0.3092,123778742.0,3851.0873,0.3918,73611240.0
20191204,2878.1157,-0.2282,125543653.0,3849.819,-0.0329,79683385.0
20191205,2899.4685,0.7419,143163096.0,3879.3638,0.7674,89051193.0
20191206,2912.0136,0.4327,134128878.0,3902.3853,0.5934,78648887.0
20191209,2914.4775,0.0846,160796527.0,3895.4468,-0.1778,95353806.0
20191210,2917.3157,0.0974,170123998.0,3900.3843,0.1268,86262928.0
20191211,2924.4173,0.2434,165541087.0,3902.7492,0.0606,99765480.0
20191212,2915.698,-0.2901,151534230.0,3891.0242,-0.3004,84708330.0
20191213,2967.6764,1.7827,211978585.0,3968.2211,1.984,148571349.0
20191216,2984.3925,0.5633,211862119.0,3987.5464,0.487,148486670.0
20191217,3022.4219,1.2743,293032254.0,4041.7996,1.3606,201162937.0
20191218,3017.0444,-0.1779,244089691.0,4032.7826,-0.2231,151351764.0
20191219,3017.0658,0.0007,208624264.0,4027.1495,-0.1397,117900558.0
20191220,3004.9376,-0.402,215075755.0,4017.2527,-0.2458,121267662.0
20191223,2962.7513,-1.4039,205716617.0,3967.0962,-1.2485,122816246.0
20191224,2982.6806,0.6727,163030250.0,3992.9581,0.6519,95989045.0
20191225,2981.8805,-0.0268,175654028.0,3990.8671,-0.0524,94938890.0
20191226,3007.3546,0.8543,182440426.0,4025.9879,0.88,108860640.0
